coachella_sentiment,coachella_yn,name,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone,hashtags,emails,clean_text
positive,yes,kokombil,0,#Coachella2015 tickets selling out in less than 40 minutes _Ù_¦_Ù___Ù___Ù÷_ÙÎµ_ÙÎµ_Ù___Ù_¦ http://t.co/SmoXyteIMJ,"[0.0, 0.0]",1/7/15 15:02,5.52963e+17,,Quito,['#Coachella2015'],[],coachella tickets selling out less minutes
positive,yes,MisssTaraaa10,2,RT @sudsybuddy: WAIT THIS IS ABSOLUTE FIRE _ÙÓ´_ÙÓ´_ÙÓ´ #Coachella2015 http://t.co/Ov2eCJtAvR,,1/7/15 15:02,5.52963e+17,united states,,['#Coachella2015'],[],rt wait absolute fire coachella
positive,yes,NMcCracken805,0,#Coachella2015 #VIP passes secured! See you there bitchesssss,,1/7/15 15:01,5.52963e+17,"Costa Mesa, CA",,"['#Coachella2015', '#VIP']",[],coachella vip passes secured see there bitchesssss
positive,yes,wxpnfm,1,PhillyÛªs @warondrugsjams will play #Coachella2015 &amp; #GovBall2015! Watch them on Jimmy Fallon: http://t.co/wzaAE5wYNT http://t.co/sFL9I5sD20,,1/7/15 15:01,5.52963e+17,"Philadelphia, PA and Worldwide",Quito,"['#Coachella2015', '#GovBall2015']",[],phillys will play coachella amp govball watch them jimmy fallon
positive,yes,Caesears,0,If briana and her mom out to #Coachella2015  im out with them !!! _Ù÷Ý_Ù÷Ý_Ù÷Ý_ÙÕÄ,,1/7/15 15:00,5.52963e+17,,,['#Coachella2015'],[],briana her mom out coachella im out them
positive,yes,donbosco_6,0,"West side is the best side!
#west #coas #Coachella2015 http://t.co/BhasNazMMU",,1/7/15 14:58,5.52963e+17,Cuenca Ecuador,Eastern Time (US & Canada),"['#west', '#coas', '#Coachella2015']",[],west side best side west coas coachella
positive,yes,__Mia630_,0,Coachella tickets are now sold out _Ù÷_ &amp; I had the opportunity to have bought them. I'm definitely going next year #Coachella2015 #Coachella,,1/7/15 14:58,5.52963e+17,CA. USA,Pacific Time (US & Canada),"['#Coachella2015', '#Coachella']",[],coachella tickets now sold out amp had opportunity have bought them i m definitely going next year coachella coachella
positive,yes,OlgaKhmylev,0,#Coachella2015 I absolutely can NOT wait. This weekend is about to exceed EPIC EXPECTATIONS!!! :) Lineup is CRAZY!  http://t.co/7CQXKCprLH,,1/7/15 14:57,5.52962e+17,Buffalo//Moscow//Boston ,Eastern Time (US & Canada),['#Coachella2015'],[],coachella absolutely can wait weekend about exceed epic expectations lineup crazy
positive,yes,Ben_BigB_Davies,0,If someone got me to Coachella if be your friend for life #truth #desprate #Coachella2015 #Coachella http://t.co/MMDkTMOZfW,,1/7/15 14:54,5.52962e+17,The mighty bridgend !,,"['#truth', '#desprate', '#Coachella2015', '#Coachella']",[],someone got me coachella friend life truth desprate coachella coachella
positive,yes,brevamo,83,RT @brownjenjen:  Õ http://t.co/mxCREvIlGP 712 Coachella 2015  Coachella 2015 makes space for rockers and ravers this year #Coachella2015 OhÛ_,,1/7/15 14:50,5.52961e+17,Utah,Pacific Time (US & Canada),['#Coachella2015'],[],rt coachella coachella makes space rockers ravers year coachella oh
positive,yes,samhughes88,2,"RT @RogerCraigSmith: Dig these guys much! Can't wait to see them at #Coachella2015!
Two dudes creating incredible sounds.
@royalblooduk 
htÛ_",,1/7/15 14:50,5.5296e+17,"Cheshire, UK ",London,['#Coachella2015'],[],rt dig these guys much can t wait see them coachella two dudes creating incredible sounds ht
positive,yes,kathy009,0,"ÛÏ@NickDevLV: Officially official. #Coachella2015 http://t.co/cWBx8jb2n7Û
Please someone get me to Coachella this year, so wanna go",,1/7/15 14:48,5.5296e+17,England,,['#Coachella2015'],[],nickdevlv officially official coachella please someone get me coachella year wanna go
positive,yes,McBased,0,See you there! #Coachella2015 @IDK_Chillin @gina__elizabeth @#TwiterlessNikki,,1/7/15 14:47,5.5296e+17,HTX-CCTX,Eastern Time (US & Canada),"['#Coachella2015', '#TwiterlessNikki']",[],see there coachella twiterlessnikki
positive,yes,TheExperiencexX,0,Son im really trynna go to #Coachella2015,,1/7/15 14:41,5.52958e+17,,Pacific Time (US & Canada),['#Coachella2015'],[],son im really trynna go coachella
positive,yes,lindsayjfig,0,I just want to go to #Coachella2015 _Ù÷Ç_Ù_Á,,1/7/15 14:35,5.52957e+17,,Mountain Time (US & Canada),['#Coachella2015'],[],just want go coachella
positive,yes,carleystenson,1,So we got tickets to #Coachella2015 x what is it!? _Ù÷_Ù÷ _Ù_¦_Ù___Ù_á_Ù_¼_Ù_ü_Ù___Ù_µ,,1/7/15 14:34,5.52956e+17,,,['#Coachella2015'],[],got tickets coachella x what it
positive,yes,KROCSTEDY,0,Can't wait until #Coachella this year. This will be my first time ever goin. Chyyeah!!! #Coachella2015 _ÙªÎ,,1/7/15 14:30,5.52955e+17,"From Long Beach, CA & beyond..",Alaska,"['#Coachella', '#Coachella2015']",[],can t wait until coachella year will first time ever goin chyyeah coachella
positive,yes,edasemana,0,Just bought my #Coachella2015 tickets with @aylephant and Minh Do! I could already tell that 2015 is gonna be amazing!,"[37.4365235, -121.8783382]",1/7/15 14:30,5.52955e+17,California ,,['#Coachella2015'],[],just bought coachella tickets minh do could already tell gonna amazing
positive,yes,happiiiiiiiii,1,"RT @EricHoang_: Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets",,1/7/15 14:30,5.52955e+17,,,"['#Coachella', '#Coachella2015', '#Coachellatickets']",[],rt someone sell me one car camping pass coachella weekend please coachella coachella coachellatickets
positive,yes,fucknambriz,0,"April can't come any sooner _Ù÷__Ù÷__Ù÷_ 

#Coachella2015","[33.83198733, -117.95680471]",1/7/15 14:29,5.52955e+17,Anaheim CA,Pacific Time (US & Canada),['#Coachella2015'],[],april can t come any sooner coachella
positive,yes,LuisaInStereo,0,Woot woot! #Coachella2015 _Ù_ä_Ù_ä,,1/7/15 14:28,5.52955e+17,,Pacific Time (US & Canada),['#Coachella2015'],[],woot woot coachella
positive,yes,GregWRoss,0,"#coachella2015  What's the fuss about AC/DC heading the line-up? Leonard Cohen blew everyone away there a couple of years back, both great!",,1/7/15 14:26,5.52955e+17,Burswood,Perth,['#coachella2015'],[],coachella what s fuss about ac dc heading line up leonard cohen blew everyone away there couple years back both great
positive,yes,Hey_Julee,1,RT @TeamCamillaB: Hope to see @CamillaBelle in Coachella #Coachella2015!,,1/7/15 14:26,5.52954e+17,,Central Time (US & Canada),['#Coachella2015'],[],rt hope see coachella coachella
positive,yes,rgrocks,0,Prayer to #Coachella gods for #Coachella2015 #Coachellatickets someone sell me weekend 1 for face value please. Car camping too! Amen,,1/7/15 14:25,5.52954e+17,San Francisco,Pacific Time (US & Canada),"['#Coachella', '#Coachella2015', '#Coachellatickets']",[],prayer coachella gods coachella coachellatickets someone sell me weekend face value please car camping too amen
positive,yes,_SydArmstrong,0,I see @nlapi is ready for #Coachella2015 #coachellaNICK,,1/7/15 14:23,5.52954e+17,Los Angeles,Central Time (US & Canada),"['#Coachella2015', '#coachellaNICK']",[],see ready coachella coachellanick
positive,yes,pascalpellan,0,Young DroCHELLA | #Coachella #Coachella2015 http://t.co/X0tIMlrjSH,,1/7/15 14:22,5.52953e+17,Paris,Paris,"['#Coachella', '#Coachella2015']",[],young drochella coachella coachella
positive,yes,Wajohnston3Will,0,Got my tickets for #Coachella2015 stoked as fuck,,1/7/15 14:21,5.52953e+17,,,['#Coachella2015'],[],got tickets coachella stoked fuck
positive,yes,shermhasheart,0,"I can't wait for ""and you shook me all night long"" at #Coachella2015",,1/7/15 14:18,5.52952e+17,Bloomington,Quito,['#Coachella2015'],[],can t wait and shook me all night long coachella
positive,yes,mickeyditch,0,So HAPPY to announce that me and @NicolaBott have twins!!!! (tickets) #Coachella2015 http://t.co/83miyTqiff,"[-33.87105558, 151.20334792]",1/7/15 14:17,5.52952e+17,Sydney,London,['#Coachella2015'],[],happy announce me have twins tickets coachella
positive,yes,JahhKobe,0,Super pumped for ACDC and Steely Dan #kickinitoldschoool #Coachella2015,,1/7/15 14:16,5.52952e+17,"Ashland, Oregon",Pacific Time (US & Canada),"['#kickinitoldschoool', '#Coachella2015']",[],super pumped acdc steely dan kickinitoldschoool coachella
positive,yes,mebullard1,0,Just got news we're going to #Coachella2015,,1/7/15 14:16,5.52952e+17,,,['#Coachella2015'],[],just got news we re going coachella
positive,yes,_caitbate_,0,LOL NVM YA BISH IS GOING TO #COACHELLA2015 #HALLELUJAH!!! http://t.co/kcLTkfhiiN,,1/7/15 14:14,5.52951e+17,New York City,Eastern Time (US & Canada),"['#COACHELLA2015', '#HALLELUJAH']",[],lol nvm ya bish going coachella hallelujah
positive,yes,RaphNasty,0,"If I got a #Coachella2015 ticket, how much better does that make me than you? #KingOfTheWhitePeople",,1/7/15 14:13,5.52951e+17,"San Diego, CA/Los Angeles, CA",,"['#Coachella2015', '#KingOfTheWhitePeople']",[],got coachella ticket how much better does make me you kingofthewhitepeople
positive,yes,ChandlerMader,0,"I just got a casual text from my dad asking a simple question w/ an emoji ""what weekend were you thinking _Ù÷÷"" #Coachella2015åÀåÀåÀ @maderlife _ÙÕÄ","[47.33337043, -122.34953378]",1/7/15 14:11,5.52951e+17,,Arizona,['#Coachella2015åÀåÀåÀ'],[],just got casual text dad asking simple question w emoji what weekend thinking coachella
positive,yes,RiggsVida,0,When you find out Coachella is in 3 months are your getting ready to find celebrities #Coachella2015 _ÙÎ_,,1/7/15 14:11,5.52951e+17,,,['#Coachella2015'],[],when find out coachella months getting ready find celebrities coachella
positive,yes,_taBz,0,ITS OFFICIAL @nycbritt #Coachella2015   _ÙÕÝ_Ù_äÏ¬÷Ûü_ÙÔª_Ù_¦,,1/7/15 14:09,5.5295e+17,"Saskatoon, SK CANADA",Mountain Time (US & Canada),['#Coachella2015'],[],official coachella
positive,yes,ashley_sfg,0,Just realized I'm off of work for #Coachella2015 weekend #2. I'M TOTALLY GOING!,,1/7/15 14:07,5.5295e+17,bay area,Pacific Time (US & Canada),"['#Coachella2015', '#2']",[],just realized i m off work coachella weekend i m totally going
positive,yes,Leetzle_,0,"ÛÏ@czechmayte: @Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us _Ù÷__Ù÷_Û

PLZZZ",,1/7/15 14:01,5.52948e+17,Bay Area,,['#Coachella2015'],[],czechmayte have coachella tickets now need place camp bc tickets sold out help us plzzz
positive,yes,CTooleSaysStuff,1,RT @_kendallwood: The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily,,1/7/15 14:01,5.52948e+17,,,['#Coachella2015'],[],rt coachella lineup colorful honest via
positive,yes,czechmayte,0,@Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us _Ù÷__Ù÷_,,1/7/15 14:01,5.52948e+17,seein' stars *_*,,['#Coachella2015'],[],have coachella tickets now need place camp bc tickets sold out help us
positive,yes,HannahhRay,1,RT @sierralkbabe: So psyched for #Coachella2015 with @HannahhRay _Ù÷,,1/7/15 14:00,5.52948e+17,AR  / TX ,Central Time (US & Canada),['#Coachella2015'],[],rt psyched coachella
